Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
1401 E Yesler Way,Auto Fire Alarm,07/08/2015 08:57:00 PM +0000,47.601689,-122.314149,"(47.601689, -122.314149)",F150075897
666 S Dearborn St,Aid Response,07/08/2015 08:37:00 PM +0000,47.595834,-122.324633,"(47.595834, -122.324633)",F150075893
4550 16th Av Ne,Auto Fire Alarm,07/08/2015 08:34:00 PM +0000,47.66171,-122.31085,"(47.66171, -122.31085)",F150075891
1705 Ne Pacific St,Aid Response,07/08/2015 08:32:00 PM +0000,47.652037,-122.310567,"(47.652037, -122.310567)",F150075890
1801 16th Av Sw,Medic Response,07/08/2015 08:29:00 PM +0000,47.586231,-122.355429,"(47.586231, -122.355429)",F150075885
3rd Av / Stewart St,Aid Response,07/08/2015 08:29:00 PM +0000,47.611629,-122.339592,"(47.611629, -122.339592)",F150075887
2401 Utah Av S,Aid Response,07/08/2015 08:28:00 PM +0000,47.581888,-122.335125,"(47.581888, -122.335125)",F150075884
3rd Av / Stewart St,Aid Response,07/08/2015 08:26:00 PM +0000,47.611629,-122.339592,"(47.611629, -122.339592)",F150075882
4410 Latona Av Ne,Aid Response,07/08/2015 08:26:00 PM +0000,47.660315,-122.325123,"(47.660315, -122.325123)",F150075883
N 85th St / Aurora Av N,Aid Response,07/08/2015 08:23:00 PM +0000,47.690563,-122.344522,"(47.690563, -122.344522)",F150075881
Aurora Av N / N 85th St,Aid Response,07/08/2015 08:22:00 PM +0000,47.690563,-122.344522,"(47.690563, -122.344522)",F150075880
10564 5th Av Ne,Trans to AMR,07/08/2015 08:21:00 PM +0000,47.705755,-122.323193,"(47.705755, -122.323193)",F150075879
2306 California Av Sw,Aid Response,07/08/2015 08:20:00 PM +0000,47.582959,-122.38648,"(47.582959, -122.38648)",F150075878
N 125th St / Aurora Av N,Aid Response,07/08/2015 08:17:00 PM +0000,47.719572,-122.344937,"(47.719572, -122.344937)",F150075877
Rainier Av S / S Byron St,Aid Response,07/08/2015 08:10:00 PM +0000,47.573943,-122.294787,"(47.573943, -122.294787)",F150075876
300 Elliott Av W,Aid Response,07/08/2015 08:08:00 PM +0000,47.620961,-122.361282,"(47.620961, -122.361282)",F150075875
5th Av S / S Jackson St,Aid Response,07/08/2015 08:07:00 PM +0000,47.599195,-122.327667,"(47.599195, -122.327667)",F150075874
1501 4th Av,Medic Response,07/08/2015 08:04:00 PM +0000,47.610214,-122.336683,"(47.610214, -122.336683)",F150075873
4001 Airport Way S,Aid Response,07/08/2015 08:01:00 PM +0000,47.568065,-122.322674,"(47.568065, -122.322674)",F150075872
9200 2nd Av Sw,Aid Response,07/08/2015 07:58:00 PM +0000,47.521244,-122.336301,"(47.521244, -122.336301)",F150075871
9244 Sand Point Way Ne,MVI - Motor Vehicle Incident,07/08/2015 07:55:00 PM +0000,47.695704,-122.276334,"(47.695704, -122.276334)",F150075870
450 Ne 100th St,Aid Response,07/08/2015 07:55:00 PM +0000,47.701329,-122.323684,"(47.701329, -122.323684)",F150075869
10201 Aurora Av N,Medic Response- 6 per Rule,07/08/2015 07:50:00 PM +0000,47.702878,-122.344668,"(47.702878, -122.344668)",F150075867
807 S King St,Aid Response,07/08/2015 07:50:00 PM +0000,47.598348,-122.32235,"(47.598348, -122.32235)",F150075868
509 3rd Av,Aid Response,07/08/2015 07:46:00 PM +0000,47.602114,-122.330809,"(47.602114, -122.330809)",F150075865
3232 Nw 54th St,Aid Response,07/08/2015 07:40:00 PM +0000,47.66746,-122.399718,"(47.66746, -122.399718)",F150075864
1250 1st Av S,Medic Response,07/08/2015 07:38:00 PM +0000,47.592046,-122.334195,"(47.592046, -122.334195)",F150075863
8815 Seward Park Av S,Auto Fire Alarm,07/08/2015 07:36:00 PM +0000,47.52412,-122.264611,"(47.52412, -122.264611)",F150075862
6727 2nd Av Nw,Aid Response,07/08/2015 07:27:00 PM +0000,47.677934,-122.35946,"(47.677934, -122.35946)",F150075860
910 Marion St,Aid Response,07/08/2015 07:25:00 PM +0000,47.607742,-122.326595,"(47.607742, -122.326595)",F150075861
310 15th Av E,Aid Response,07/08/2015 07:22:00 PM +0000,47.620859,-122.31269,"(47.620859, -122.31269)",F150075859
4216 6th Av Nw,Aid Response,07/08/2015 07:18:00 PM +0000,47.658163,-122.363984,"(47.658163, -122.363984)",F150075857
14th Av Nw / Nw Market St,Aid Response,07/08/2015 07:16:00 PM +0000,47.668665,-122.373589,"(47.668665, -122.373589)",F150075856
1902 2nd Av,Automatic Medical Alarm,07/08/2015 07:14:00 PM +0000,47.610972,-122.340465,"(47.610972, -122.340465)",F150075855
100 Crockett St,Medic Response,07/08/2015 07:07:00 PM +0000,47.637416,-122.355598,"(47.637416, -122.355598)",F150075854
Maynard Al S / S King St,Rubbish Fire,07/08/2015 06:59:00 PM +0000,47.598351,-122.324404,"(47.598351, -122.324404)",F150075852
4526 15th Av Ne,Aid Response,07/08/2015 06:59:00 PM +0000,47.661492,-122.31199,"(47.661492, -122.31199)",F150075851
8510 Midvale Av N,Alarm Bell,07/08/2015 06:52:00 PM +0000,47.690601,-122.342374,"(47.690601, -122.342374)",F150075848
117 18th Av,Trans to AMR,07/08/2015 06:49:00 PM +0000,47.602011,-122.308962,"(47.602011, -122.308962)",F150075849
12007 15th Av Ne,Aid Response,07/08/2015 06:49:00 PM +0000,47.715826,-122.312557,"(47.715826, -122.312557)",F150075847
75 Vine St,AFA4 - Auto Alarm 2 + 1 + 1,07/08/2015 06:46:00 PM +0000,47.614585,-122.350542,"(47.614585, -122.350542)",F150075846
2024 3rd Av,Aid Response,07/08/2015 06:46:00 PM +0000,47.612578,-122.341197,"(47.612578, -122.341197)",F150075845
4618 S Juneau St,Aid Response,07/08/2015 06:40:00 PM +0000,47.549707,-122.275158,"(47.549707, -122.275158)",F150075841
1050 Ne 50th St,Aid Response,07/08/2015 06:39:00 PM +0000,47.664932,-122.316859,"(47.664932, -122.316859)",F150075842
5th Av / Pine St,Aid Response,07/08/2015 06:37:00 PM +0000,47.611672,-122.336484,"(47.611672, -122.336484)",F150075838
3rd Av / Jefferson St,Medic Response,07/08/2015 06:37:00 PM +0000,47.602056,-122.330756,"(47.602056, -122.330756)",F150075839
4216 6th Av S,Medic Response,07/08/2015 06:36:00 PM +0000,47.566289,-122.326727,"(47.566289, -122.326727)",F150075837
2208 2nd Av,Assault w/Weap 7 per Rule,07/08/2015 06:27:00 PM +0000,47.613326,-122.344446,"(47.613326, -122.344446)",F150075835
6220 32nd Av Ne,Auto Fire Alarm,07/08/2015 06:19:00 PM +0000,47.674094,-122.293258,"(47.674094, -122.293258)",F150075834
4544 7th Av Ne,Aid Response,07/08/2015 06:17:00 PM +0000,47.661533,-122.320727,"(47.661533, -122.320727)",F150075833
S Graham St / M L King Jr Way S,MVI - Motor Vehicle Incident,07/08/2015 06:14:00 PM +0000,47.546057,-122.285631,"(47.546057, -122.285631)",F150075832
4th Av / Blanchard St,Aid Response,07/08/2015 06:13:00 PM +0000,47.6146,-122.342634,"(47.6146, -122.342634)",F150075831
N 54th St / Green Lake Way N,Aid Response,07/08/2015 06:10:00 PM +0000,47.667764,-122.340081,"(47.667764, -122.340081)",F150075830
7300 Roosevelt Way Ne,Aid Response,07/08/2015 06:10:00 PM +0000,47.681554,-122.317457,"(47.681554, -122.317457)",F150075829
414 Prospect St,Medic Response,07/08/2015 06:06:00 PM +0000,47.628916,-122.348656,"(47.628916, -122.348656)",F150075828
8447 50th Av S,Medic Response,07/08/2015 05:56:00 PM +0000,47.527308,-122.2714,"(47.527308, -122.2714)",F150075825
1400 Taylor Av N,Medic Response- 7 per Rule,07/08/2015 05:56:00 PM +0000,47.63141,-122.346267,"(47.63141, -122.346267)",F150075826
9th Av Nw / Nw 58th St,Aid Response,07/08/2015 05:52:00 PM +0000,47.670894,-122.368598,"(47.670894, -122.368598)",F150075823
1250 1ST AV S,EVENT - Special Event,07/08/2015 05:52:00 PM +0000,47.592046,-122.334195,"(47.592046, -122.334195)",F150075824
7342 15th Av Nw,MVI - Motor Vehicle Incident,07/08/2015 05:45:00 PM +0000,47.681766,-122.376775,"(47.681766, -122.376775)",F150075821
5270 Rainier Av S,Trans to AMR,07/08/2015 05:37:00 PM +0000,47.554937,-122.282393,"(47.554937, -122.282393)",F150075819
2307 18th Av E,Automatic Medical Alarm,07/08/2015 05:34:00 PM +0000,47.6396,-122.308978,"(47.6396, -122.308978)",F150075817
9722 8th Av Nw,Medic Response,07/08/2015 05:34:00 PM +0000,47.699447,-122.366044,"(47.699447, -122.366044)",F150075818
4540 University Way Ne,Aid Response,07/08/2015 05:25:00 PM +0000,47.661628,-122.313124,"(47.661628, -122.313124)",F150075816
John St / Queen Anne Av N,MVI - Motor Vehicle Incident,07/08/2015 05:05:00 PM +0000,47.619773,-122.356747,"(47.619773, -122.356747)",F150075813
1st Av S / S Washington St,Bark Fire,07/08/2015 05:04:00 PM +0000,47.600883,-122.334182,"(47.600883, -122.334182)",F150075814
23rd Av S / S Stevens St,MVI - Motor Vehicle Incident,07/08/2015 05:00:00 PM +0000,47.576707,-122.303325,"(47.576707, -122.303325)",F150075810
2260 1st Av S,Aid Response,07/08/2015 05:00:00 PM +0000,47.583347,-122.334199,"(47.583347, -122.334199)",F150075811
1536 N 115th St,Medic Response,07/08/2015 04:56:00 PM +0000,47.712306,-122.339738,"(47.712306, -122.339738)",F150075808
700 N 50th St,Aid Response,07/08/2015 04:52:00 PM +0000,47.665041,-122.350003,"(47.665041, -122.350003)",F150075807
3225 Mcclintock Av S,Aid Response,07/08/2015 04:52:00 PM +0000,47.574488,-122.292274,"(47.574488, -122.292274)",F150075806
3500 S Holden St,Aid Response,07/08/2015 04:50:00 PM +0000,47.533741,-122.288154,"(47.533741, -122.288154)",F150075805
1908 3rd Av,Aid Response,07/08/2015 04:46:00 PM +0000,47.611684,-122.339685,"(47.611684, -122.339685)",F150075804
6922 38th Av S,Auto Fire Alarm,07/08/2015 04:31:00 PM +0000,47.539049,-122.284755,"(47.539049, -122.284755)",F150075800
820 Yesler Way,Aid Response,07/08/2015 04:30:00 PM +0000,47.601702,-122.322098,"(47.601702, -122.322098)",F150075799
3500 S Holden St,Aid Response,07/08/2015 04:29:00 PM +0000,47.533741,-122.288154,"(47.533741, -122.288154)",F150075798
35th Av Sw / Sw Findlay St,Natural Gas Leak,07/08/2015 04:28:00 PM +0000,47.551961,-122.376307,"(47.551961, -122.376307)",F150075797
9227 10th Av Sw,Medic Response,07/08/2015 04:27:00 PM +0000,47.520736,-122.34799,"(47.520736, -122.34799)",F150075796
9457 25th Av Sw,Aid Response,07/08/2015 04:26:00 PM +0000,47.518667,-122.364559,"(47.518667, -122.364559)",F150075795
1207 S Jackson St,Rescue Elevator,07/08/2015 04:25:00 PM +0000,47.59919,-122.317114,"(47.59919, -122.317114)",F150075794
1701 Broadway,Aid Response,07/08/2015 04:21:00 PM +0000,47.616403,-122.320817,"(47.616403, -122.320817)",F150075793
3204 Sw Morgan St,Aid Response Yellow,07/08/2015 04:15:00 PM +0000,47.544669,-122.373777,"(47.544669, -122.373777)",F150075788
7910 41st Av Sw,Aid Response,07/08/2015 04:14:00 PM +0000,47.532112,-122.384673,"(47.532112, -122.384673)",F150075789
3418 Harbor Av Sw,Aid Response,07/08/2015 04:11:00 PM +0000,47.571672,-122.370644,"(47.571672, -122.370644)",F150075784
Western Av / Bell St,Aid Response,07/08/2015 04:09:00 PM +0000,47.61271,-122.347372,"(47.61271, -122.347372)",F150075782
1105 Terrace St,Aid Response,07/08/2015 04:07:00 PM +0000,47.605065,-122.321201,"(47.605065, -122.321201)",F150075780
24th Av Nw / Nw 59th St,MVI - Motor Vehicle Incident,07/08/2015 03:51:00 PM +0000,47.671645,-122.387587,"(47.671645, -122.387587)",F150075776
500 5th Av,Aid Response,07/08/2015 03:41:00 PM +0000,47.602985,-122.328535,"(47.602985, -122.328535)",F150075774
2515 Ne 107th St,Fuel Spill,07/08/2015 03:41:00 PM +0000,47.706701,-122.301451,"(47.706701, -122.301451)",F150075773
1811 Eastlake Av,Aid Response,07/08/2015 03:37:00 PM +0000,47.618002,-122.329183,"(47.618002, -122.329183)",F150075772
Eb Wsea Frwy At Sr99,MVI Freeway,07/08/2015 03:30:00 PM +0000,47.57151,-122.337962,"(47.57151, -122.337962)",F150075770
Ne 125th St / 33rd Av Ne,Aid Response,07/08/2015 03:29:00 PM +0000,47.719265,-122.29273,"(47.719265, -122.29273)",F150075771
Leary Way Nw / Nw 39th St,1RED 1 Unit,07/08/2015 03:17:00 PM +0000,47.654146,-122.360063,"(47.654146, -122.360063)",F150075769
4000 California Av Sw,Medic Response,07/08/2015 03:16:00 PM +0000,47.56839,-122.38677,"(47.56839, -122.38677)",F150075766
210 29th Av S,Aid Response,07/08/2015 03:15:00 PM +0000,47.600803,-122.29498,"(47.600803, -122.29498)",F150075765
3rd Av / Pike St,Aid Response,07/08/2015 03:08:00 PM +0000,47.60975,-122.337793,"(47.60975, -122.337793)",F150075763
1767 Sturgus Av S,Automatic Medical Alarm,07/08/2015 03:08:00 PM +0000,47.586953,-122.311789,"(47.586953, -122.311789)",F150075764
5303 Shilshole Av Nw,Aid Response,07/08/2015 03:00:00 PM +0000,47.665926,-122.384098,"(47.665926, -122.384098)",F150075760
417 Broadway  E,Aid Response,07/08/2015 03:00:00 PM +0000,47.622174,-122.320909,"(47.622174, -122.320909)",F150075762
9236 RENTON AV S,Aid Response,07/08/2015 02:59:00 PM +0000,47.520114,-122.272516,"(47.520114, -122.272516)",F150075759
Aurora Av N / N 85th St,Aid Response,07/08/2015 02:58:00 PM +0000,47.690563,-122.344522,"(47.690563, -122.344522)",F150075758
3516 Sw Charlestown St,Aid Response,07/08/2015 02:47:00 PM +0000,47.570205,-122.376289,"(47.570205, -122.376289)",F150075757
902 Ne 43rd St,Medic Response- 6 per Rule,07/08/2015 02:41:00 PM +0000,47.659458,-122.318766,"(47.659458, -122.318766)",F150075751
Pike St / Boren Av,Bark Fire,07/08/2015 02:39:00 PM +0000,47.613466,-122.328913,"(47.613466, -122.328913)",F150075749
2155 7th Av W,Aid Response,07/08/2015 02:38:00 PM +0000,47.638092,-122.36631,"(47.638092, -122.36631)",F150075747
Nb I5 Fr Mercer,Car Fire Freeway,07/08/2015 02:37:00 PM +0000,47.624655,-122.333319,"(47.624655, -122.333319)",F150075745
4142 M L King Jr Way S,Aid Response,07/08/2015 02:36:00 PM +0000,47.565828,-122.296424,"(47.565828, -122.296424)",F150075743
6801 52nd Av Ne,Aid Response,07/08/2015 02:28:00 PM +0000,47.677577,-122.271594,"(47.677577, -122.271594)",F150075741
6314 34th Av Sw,Aid Response,07/08/2015 02:27:00 PM +0000,47.546457,-122.37505,"(47.546457, -122.37505)",F150075740
13th Av S / S Dearborn St,Brush Fire,07/08/2015 01:55:00 PM +0000,47.59582,-122.315923,"(47.59582, -122.315923)",F150075738
2001 E Yesler Way,Aid Response,07/08/2015 01:48:00 PM +0000,47.601674,-122.306339,"(47.601674, -122.306339)",F150075737
7401 Rainier Av S,Fire in Building,07/08/2015 01:46:00 PM +0000,47.535914,-122.270031,"(47.535914, -122.270031)",F150075736
2901 Western Av,Aid Response,07/08/2015 01:46:00 PM +0000,47.616253,-122.353366,"(47.616253, -122.353366)",F150075735
15th Av S / Beacon Av S,Aid Response,07/08/2015 01:43:00 PM +0000,47.580593,-122.313412,"(47.580593, -122.313412)",F150075734
1213 Sw Holden St,Aid Response,07/08/2015 01:41:00 PM +0000,47.534046,-122.3506,"(47.534046, -122.3506)",F150075733
320 M L King Jr Way E,Aid Response,07/08/2015 01:36:00 PM +0000,47.621596,-122.296108,"(47.621596, -122.296108)",F150075732
6420 California Av Sw,Medic Response,07/08/2015 01:25:00 PM +0000,47.545436,-122.387209,"(47.545436, -122.387209)",F150075731
224 Bellevue Av E,Aid Response,07/08/2015 12:55:00 PM +0000,47.619903,-122.326574,"(47.619903, -122.326574)",F150075730
3612 Sw 112th St,Aid Response,07/08/2015 12:52:00 PM +0000,47.502829,-122.378211,"(47.502829, -122.378211)",F150075729
1st Av / Yesler Way,Medic Response,07/08/2015 12:21:00 PM +0000,47.601722,-122.334179,"(47.601722, -122.334179)",F150075728
9240 2ND AV SW,Aid Response,07/08/2015 11:46:00 AM +0000,47.520453,-122.336003,"(47.520453, -122.336003)",F150075725
2300 Sw Webster St,Aid Response,07/08/2015 11:44:00 AM +0000,47.535515,-122.36216,"(47.535515, -122.36216)",F150075724
1900 5th Av,Aid Response,07/08/2015 11:38:00 AM +0000,47.612958,-122.337873,"(47.612958, -122.337873)",F150075720
919 Stewart St,Medic Response,07/08/2015 11:36:00 AM +0000,47.615745,-122.334269,"(47.615745, -122.334269)",F150075719
100 Mercer St,Trans to AMR,07/08/2015 11:06:00 AM +0000,47.624578,-122.355404,"(47.624578, -122.355404)",F150075718
Ne 45th St / 8th Av Ne,Aid Response,07/08/2015 10:00:00 AM +0000,47.661311,-122.319567,"(47.661311, -122.319567)",F150075705
1301 1ST AV,Aid Response,07/08/2015 09:40:00 AM +0000,47.606835,-122.338197,"(47.606835, -122.338197)",F150075704
9144 7th Av S,Medic Response,07/08/2015 09:33:00 AM +0000,47.521735,-122.32498,"(47.521735, -122.32498)",F150075703
10360 51st Av S,Wires Down,07/08/2015 09:24:00 AM +0000,47.507709,-122.270108,"(47.507709, -122.270108)",F150075700
148 N 130th St,Aid Response,07/08/2015 09:02:00 AM +0000,47.723245,-122.357582,"(47.723245, -122.357582)",F150075698
Thomas St / Eastlake Av E,Medic Response,07/08/2015 08:58:00 AM +0000,47.620824,-122.329142,"(47.620824, -122.329142)",F150075697
7340 35th Av Ne,Aid Response,07/08/2015 08:40:00 AM +0000,47.68159,-122.290438,"(47.68159, -122.290438)",F150075696
2800 Elliott Av,Trans to AMR,07/08/2015 08:37:00 AM +0000,47.615025,-122.353269,"(47.615025, -122.353269)",F150075694
2351 N 61st St,Aid Response,07/08/2015 08:25:00 AM +0000,47.672886,-122.330201,"(47.672886, -122.330201)",F150075693
500 5th Av,Trans to AMR,07/08/2015 08:07:00 AM +0000,47.602985,-122.328535,"(47.602985, -122.328535)",F150075692
6951 62nd Av Ne,Aid Response,07/08/2015 07:59:00 AM +0000,47.6789,-122.262228,"(47.6789, -122.262228)",F150075689
5012 39th Av Ne,Aid Response,07/08/2015 07:54:00 AM +0000,47.664953,-122.28586,"(47.664953, -122.28586)",F150075688
1019 32nd Av E,Aid Response,07/08/2015 07:50:00 AM +0000,47.627656,-122.290909,"(47.627656, -122.290909)",F150075687
Ne 127th St / 28th Av Ne,Aid Response,07/08/2015 07:21:00 AM +0000,47.721102,-122.297721,"(47.721102, -122.297721)",F150075685
10500 51st Av S,Aid Response,07/08/2015 07:17:00 AM +0000,47.506583,-122.270133,"(47.506583, -122.270133)",F150075684
2814 S Washington St,Automatic Fire Alarm Resd,07/08/2015 07:07:00 AM +0000,47.600863,-122.295721,"(47.600863, -122.295721)",F150075682
2802 Rainier Av S,Aid Response,07/08/2015 07:06:00 AM +0000,47.578333,-122.298138,"(47.578333, -122.298138)",F150075681
